cod_imovel;x;y
ES-3204005-D61373C1C68F48CC8D60931522F89B58;314724.2655334124;7869725.915593917
ES-3203908-DC0744FBCB6A402D9C140103B6F7EA80;338526.4299065493;7943712.69773623
ES-3204906-F089DF98D94E4FF6917F8BBB7E707086;396176.7868796159;7930479.757142177
ES-3204401-527953970A724B549D0A6513FCD579A2;309506.74791376595;7694385.801268563
ES-3204559-1ADFEA344AEB42C9967E40B302D6658E;321009.00008553045;7781415.336936342
ES-3204104-ADAEFD6376F24CC2859E94CD7FAF8988;370410.9510222321;7970231.837671433
ES-3203809-3734F4004FDE455090781A3AE32F09A3;266276.3235018266;7681232.457346003
ES-3200904-6861E107766546C88F8FB57154156AE3;308546.05266022217;7927658.220990776
ES-3201159-796E29DB69564CE7B1221DB18F1DBC6D;263971.65273956687;7775405.224127678
ES-3203809-35B3D58D0ADB4918A928A64AD578F04A;257905.93743330293;7689667.766484222
ES-3203304-453B59BD711A4DBBA0E7FF241ADAF9FD;289926.71914932074;7913606.697785352
ES-3200201-41D159150DC243C0A1D3366D36185F4D;237371.90228775574;7690315.470334856
ES-3203205-99686936A0D842B5A33A1F5F297F1A2F;405866.59341279365;7869825.161515638
ES-3203353-0AFD856D0E9345409B57D950E6FF086E;342460.9729403114;7855220.545115821
ES-3202207-468457D8016D491C99755757ABB2A139;352221.7133279873;7794630.760173415
ES-3202504-473D35FEF85D4180A29D79F6A4687281;345011.1366168719;7809822.240344244
ES-3204351-CA401DC946544DFFBEFB6EB52555DC13;371701.7413107785;7874887.621693605
ES-3204708-F0856A7479FD4C5894A993F1B54A0FB4;353468.9395692433;7905298.5365151
ES-3203908-89B7A151A97E4B19B82FD3ABD33AAB2B;345786.33619724354;7946391.257664012
ES-3200706-0CCD4BDFC6D14B198FED2CB8D9080B9B;270236.3600024235;7681050.542038273
ES-3202603-65B241A7A8444580AC1460E04D84CCDB;300653.7468260204;7707207.362324151
ES-3203056-81C379E5D8D94BDF86595449A2C63C5B;403475.72139848245;7899049.091796204
ES-3200607-908F7A0E537F49BF832BECAE9C9A714F;380568.18940631975;7791462.935386274
ES-3203106-1BE66D7C59964C7FB4BA2579FF87EC0A;250914.27940583945;7691748.2062506825
ES-3201001-C6A268E6E57341FAAF2BC21C6D31E03A;361193.7564528119;7957031.784884509
ES-3204302-CD214BBF0B9B49B18F596F9101992C00;294212.6769768429;7657353.601751033
ES-3201308-0E223D9E5CDD41019B88F0D6BFED9F17;343422.82596973306;7752097.534163659
ES-3203700-4564B23EDC81481DA143BECDCA30114B;252330.49298926946;7733190.483316308
ES-3202108-656A7A7CECDE4B34BBF784368AB76200;304771.49249736534;7968125.801737125
ES-3202207-14B6250E23A8448893BB0050636DF2C6;352977.52024223184;7788909.404072167
ES-3200300-79541D71486B493C99D5193ECDEF993C;307055.4977803611;7714383.29350975
ES-3203908-13248F172BC04B2C873D0C2C2B17AB27;321047.84595922905;7916849.060088966
ES-3202900-2C6A218528A4451CA757CA9B49829B98;303527.32357919635;7785896.143425329
ES-3200706-10338976B4B74F7EA7B62EC5942EB5EF;265616.8558117228;7685425.786089972
ES-3203056-5CC539B62D624385B5EFA6ECBF25321E;378576.6881397131;7916054.211913662
ES-3200300-FAB9ACE19F34401DB46E0D537D667D93;317476.6892771038;7726776.080385983
ES-3203205-AC457A72F1684EAE8C6349A9152F1AF1;400286.22808615543;7854931.542376734
ES-3203601-A824F1B356654FF3B639E7ED70AE05A0;336246.90973639383;8000365.910516748
ES-3200201-4ADA94A6059E4A4E982574AEE62F609B;228894.2329585791;7710421.205355927
ES-3204906-7CD307DA4BC34B518D75DE6B5DE485EA;417594.908165825;7924641.019262621
ES-3202108-91B04065C6CD441CA181996275FDD1E4;304680.07339987374;7982653.652979288
ES-3200300-4D55BBC64C93415AAB0A4D83AB9B566F;321611.52589890675;7719100.175524853
ES-3201803-A8F4766A201440DB9BAA65515602AA62;221441.977297917;7715368.014493002
ES-3200102-C6EB8870C8144B8C9A0FF31D6F343E3C;270446.3666238737;7787544.44420254
ES-3204609-129D2D6A4D4243D78B882DD10512658E;323303.65327057475;7793586.546631202
ES-3201902-CC11AF68968C43408E3FA9BFED7B3755;287836.51490982436;7745250.765336035
ES-3202702-217BB8AFD4554036AA5740BCEE084141;307064.9063099975;7816363.793615781
ES-3204708-4291ED5AF90F42DCAB92AC9940176635;334343.7038548645;7899224.034096114
ES-3204351-183D7996C95646B8800D1BA2EDC482AE;352253.4129584135;7862959.722374845
ES-3204906-42398C98D6B041FDA1D281790C63FAA7;389666.90129753767;7928526.038130868
ES-3203056-D710C75F77C44121B85529B674611EF3;385385.17173739144;7905668.349876432
ES-3204955-8D1410D23F8041419E45E5BF3A17F127;325992.9199849837;7816642.802979175
ES-3202405-C886A14FC5CE460287F03440AFBA8E5D;324245.2335338522;7730303.015780282
ES-3201407-CB7A3910088843ACB93F01B53C2338DC;259155.49214927293;7723054.184834916
ES-3204351-F01E5668B1594D4BB6E1C5458178E59B;365812.0322708849;7887098.665611897
ES-3200607-369659DCD2394994B90C18EC556E1D47;372956.8904142984;7833045.1517562475
ES-3201902-7849BC342FD044C2BA8AEE39B270F78A;331564.94624492666;7759485.414625987
ES-3204708-7D6941F2F0484A69AF231562E3DB31E9;351973.10424844566;7904754.47750548
ES-3202207-574FEB7035A04A078B12099D44914A3E;350218.4386683664;7788980.091711225
ES-3200201-4CAEE14B2DF644F3BD9703F12697F35A;229633.3498039691;7715893.754631033
ES-3202603-E41F36DAE98D487FB8D6397B62C8DB4A;310809.1309935736;7703992.024453303
ES-3201803-79945EC4FE7D4C2CBCBD4E0395AD117A;212351.36963174964;7719078.337312674
ES-3203163-39FD69656A58463BBCBD3F9CD403EBAD;292766.4528346901;7790075.30900719
ES-3204658-D4E3FDBB1D0A41FA8B9C935E120721EF;334788.5666383393;7884447.47206821
ES-3203346-02DC0E1943234EF3BDE3A266C2E6D063;318495.49314424756;7739863.816235447
ES-3201506-9C1E7B2FC7C045029E8D835ED2DC43D0;311300.86001537635;7863069.974005593
ES-3200102-30EB97B4BBD84BBAB8514E3CCCD04571;279164.5591202136;7777230.840639524
ES-3200805-B9C7170CD6884F56B2D0745A5BE75909;303668.9881105203;7861006.630931763
ES-3200201-836DD57D4C7146659D280974E966752C;241417.72225567276;7711870.735247247
ES-3203908-C3EE7A83262641429FB1632A64774E3B;339414.2287177896;7942558.192352991
ES-3204005-A7752E33D6FF45A7998505B328D33B32;308355.28315498645;7860702.115698235
ES-3204559-A3ECC94991C44AF6B813B015C5605A33;302451.59704357013;7766414.877985371
ES-3200300-CEFF41827D6644B99C1970CD4B1E22FF;301214.9082350641;7733908.869443746
ES-3205010-4B4246C8D27D42499DBF2D2520C1C89D;381146.70256970316;7888526.076120912
ES-3201159-49A09E7CD17E406A89F75D7E14724D12;263182.5865210051;7774643.289193849
